15-31,1/1/2015,NEW BRITAIN,HARTFORD,CT,NEW BRITAIN,HARTFORD,CT,"(41.667528, -72.783437)"
14-6466,4/23/2014,NEW FAIRFIELD,,CT,NEW FAIRFIELD,FAIRFIELD,CT,"(41.466074, -73.485613)"
14-14884,10/5/2014,COVENTRY,,CT,COVENTRY,TOLLAND,CT,"(41.774042, -72.309999)"
15-441,1/8/2015,HARTFORD,HARTFORD,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
14-9921,6/28/2014,WATERTOWN,,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
15-970,1/16/2015,NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
15-5456,3/27/2015,SOUTHINGTON,HARTFORD,CT,SOUTHINGTON,HARTFORD,CT,"(41.600428, -72.878105)"
12-12714,9/9/2012,BRIDGEPORT,FAIRFIELD,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
13-5418,4/5/2013,MIDDLETOWN,MIDDLESEX,CT,MIDDLETOWN,MIDDLESEX,CT,"(41.544654, -72.651713)"
Dec-75,3/3/2012,NEW HAVEN,,CT,BETHANY,NEW HAVEN,CT,"(41.428339, -72.994834)"
14-11651,8/1/2014,WALLINGFORD,,CT,WALLINGFORD,NEW HAVEN,CT,"(41.454408, -72.818414)"
13-16490,11/12/2013,WATERBURY,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
15-5695,3/31/2015,NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
15-7926,5/10/2015,CLINTON,MIDDLESEX,CT,WESTBROOK,MIDDLESEX,CT,"(41.283357, -72.441654)"
15-7523,5/2/2015,NEW BRITAIN,HARTFORD,CT,NEW BRITAIN,HARTFORD,CT,"(41.667528, -72.783437)"
Dec-08,2/21/2012,WINCHESTER,LITCHFIELD,CT,WINCHESTER,LITCHFIELD,CT,"(41.901973, -73.133851)"
14-17843,11/28/2014,HAMDEN,,CT,HAMDEN,NEW HAVEN,CT,"(41.382918, -72.907743)"
Dec-17,2/25/2012,STAFFORD,,CT,STAFFORD,,CT,"(41.98469, -72.290196)"
13-14725,10/10/2013,NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
12-12561,9/5/2012,NORWICH,NEW LONDON,CT,NORWICH,NEW LONDON,CT,"(41.524304, -72.075821)"
15-6014,4/6/2015,MANCHESTER,HARTFORD,CT,MANCHESTER,HARTFORD,CT,"(41.770668, -72.520868)"
15-8758,5/25/2015,ENFIELD,HARTFORD,CT,ENFIELD,HARTFORD,CT,"(41.976501, -72.591985)"
15-2016,2/1/2015,MIDDLETOWN,MIDDLESEX,CT,MIDDLETOWN,MIDDLESEX,CT,"(41.544654, -72.651713)"
13-13902,9/24/2013,STRATFORD,FAIRFIELD,CT,STRATFORD,FAIRFIELD,CT,"(41.200888, -73.131323)"
15-1236,1/21/2015,WATERBURY,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
Dec-28,7/6/2012,STAMFORD,FAIRFIELD,CT,STAMFORD,FAIRFIELD,CT,"(41.051924, -73.539475)"
13-8799,6/11/2013,NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
13-14184,9/30/2013,EAST HAVEN,NEW HAVEN,CT,MANCHESTER,HARTFORD,CT,"(41.770668, -72.520868)"
12-15292,10/30/2012,,,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
13-13375,9/13/2013,SALEM,NEW LONDON,CT,SALEM,NEW LONDON,CT,"(41.487106, -72.274406)"
14-12443,8/17/2014,VERNON,,CT,VERNON,TOLLAND,CT,"(41.818792, -72.479029)"
13-18012,12/10/2013,NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
15-10422,6/24/2015,EAST HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
14-15191,10/11/2014,CLINTON,,CT,CLINTON,MIDDLESEX,CT,"(41.278677, -72.528067)"
13-10985,7/25/2013,NEW BRITAIN,HARTFORD,CT,NEW BRITAIN,HARTFORD,CT,"(41.667528, -72.783437)"
12-11497,8/14/2012,ENFIELD,,CT,ENFIELD,HARTFORD,CT,"(41.976501, -72.591985)"
13-1883,1/30/2013,HAMDEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
13-1964,2/1/2013,MIDDLEBURY,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
13-8677,6/8/2013,MERIDEN,NEW HAVEN,CT,MERIDEN,NEW HAVEN,CT,"(41.537589, -72.8011)"
14-11150,7/22/2014,WILLACOOCHEE,,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
14-4987,3/28/2014,MYSTIC,,CT,MYSTIC,,CT,"(41.35461, -71.967648)"
15-11391,7/12/2015,COLUMBUS,MUSCOGEE,GA,SEYMOUR,NEW HAVEN,CT,"(41.395594, -73.073581)"
14-245,1/5/2014,HARTFORD,,CT,HARTFORD,,CT,"(41.765775, -72.673356)"
14-13554,9/8/2014,MADISON,,CT,MADISON,NEW HAVEN,CT,"(41.271447, -72.60086)"
14-17578,11/23/2014,NAUGATUCK,,CT,NEW MILFORD,LITCHFIELD,CT,"(41.576633, -73.408713)"
13-3115,2/20/2013,MERIDEN,NEW HAVEN,CT,MERIDEN,NEW HAVEN,CT,"(41.537589, -72.8011)"
13-8651,6/7/2013,HARTFORD,HARTFORD,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
12-16527,11/24/2012,WALLINGFORD,NEW HAVEN,CT,WALLINGFORD,NEW HAVEN,CT,"(41.454408, -72.818414)"
15-1042,1/18/2015,ARLINGTON HEIGHTS,COOK,IL,EAST HAMPTON,MIDDLESEX,CT,"(41.575581, -72.502526)"
15-13300,8/17/2015,WATERBURY,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
15-8767,5/25/2015,MIDDLEBURY,NEW HAVEN,CT,MIDDLEBURY,NEW HAVEN,CT,"(41.529492, -73.127625)"
14-4668,3/23/2014,BRISTOL,,CT,BRISTOL,,CT,"(41.673037, -72.945791)"
14-16715,11/7/2014,HARTFORD,,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
14-2938,2/20/2014,NEW HAVEN,,CT,NEW HAVEN,,CT,"(41.308252, -72.924161)"
15-708,1/13/2015,WATERBURY,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
14-7740,5/16/2014,WATERBURY,,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
14-2224,2/9/2014,EAST HADDAM,,CT,ELLINGTON,,CT,"(41.903847, -72.470262)"
12-17227,12/7/2012,BEACON FALLS,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
13-7710,5/19/2013,NEW MILFORD,LITCHFIELD,CT,NEW MILFORD,LITCHFIELD,CT,"(41.576633, -73.408713)"
13-8518,6/5/2013,NEW FAIRFIELD,FAIRFIELD,CT,NEW FAIRFIELD,FAIRFIELD,CT,"(41.466074, -73.485613)"
12-13364,9/23/2012,MERIDEN,NEW HAVEN,CT,MERIDEN,NEW HAVEN,CT,"(41.537589, -72.8011)"
14-2603,2/15/2014,MERIDEN,,CT,MERIDEN,,CT,"(41.537589, -72.8011)"
14-95,1/2/2014,NORWALK,,CT,NORWALK,,CT,"(41.11805, -73.412906)"
15-7137,4/25/2015,WEST HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
15-14376,9/7/2015,NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
15-122,1/3/2015,BERLIN,HARTFORD,CT,BERLIN,HARTFORD,CT,"(41.626049, -72.749301)"
15-11770,7/18/2015,CLINTON,MIDDLESEX,CT,CLINTON,MIDDLESEX,CT,"(41.278677, -72.528067)"
14-2489,2/13/2014,EAST WINDSOR,,CT,EAST WINDSOR,,CT,"(41.899986, -72.58032)"
13-12077,8/17/2013,BURLINGTON,HARTFORD,CT,BRISTOL,HARTFORD,CT,"(41.673037, -72.945791)"
14-4487,3/19/2014,BRIDGEPORT,,CT,BRIDGEPORT,,CT,"(41.179195, -73.189476)"
15-2501,2/9/2015,TORRINGTON,LITCHFIELD,CT,TORRINGTON,LITCHFIELD,CT,"(41.812186, -73.101552)"
14-565,1/10/2014,WINDHAM,,CT,WILLIMANTIC,,CT,"(41.711724, -72.211975)"
15-10782,6/30/2015,NEWINGTON,HARTFORD,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
15-7121,4/25/2015,SOUTH WINDSOR,HARTFORD,CT,WINDSOR LOCKS,HARTFORD,CT,"(41.924953, -72.627177)"
